source_file,outcome,control_group,variable,estimate,std_error,t_value,p_value,ci_2_5,ci_97_5,n_obs,year,ci_lo,ci_hi,is_base,spec,model,ape,interaction_with,period,sub_sample,p_holm,p_bh,sig_raw_05,sig_holm_05,sig_bh_05,se_type,beta_restricted,beta_full,r2_restricted,r2_full,r_max_assumed,delta_to_zero,robust_if_delta_gt_1,reason_group,mean_cites,n_with_cite,citation_type
EVENT_log1p_forward_cites_ctrl_all_base2014.csv,log1p_forward_cites,all,,-0.4272474560219396,0.0431690726769202,,0.0,,,,2012.0,-0.5120230444231075,-0.3424718676207717,0.0,,,,,,,,,,,,,,,,,,,,,,,
EVENT_log1p_forward_cites_ctrl_all_base2014.csv,log1p_forward_cites,all,,-0.1642922031264694,0.0307156586813417,,1.2476186683763046e-07,,,,2013.0,-0.2246117299629202,-0.1039726762900185,0.0,,,,,,,,,,,,,,,,,,,,,,,
EVENT_log1p_forward_cites_ctrl_all_base2014.csv,log1p_forward_cites,all,,0.0,0.0,,,,,,2014.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
EVENT_log1p_forward_cites_ctrl_all_base2014.csv,log1p_forward_cites,all,,-0.0916912339868378,0.0204773348981825,,8.984662595246107e-06,,,,2015.0,-0.131904701806111,-0.0514777661675647,0.0,,,,,,,,,,,,,,,,,,,,,,,
EVENT_log1p_forward_cites_ctrl_all_base2014.csv,log1p_forward_cites,all,,-0.0148153379566278,0.0239615233049084,,0.5366070110396244,,,,2016.0,-0.0618710681634049,0.0322403922501492,0.0,,,,,,,,,,,,,,,,,,,,,,,
EVENT_log1p_forward_cites_ctrl_all_base2014.csv,log1p_forward_cites,all,,-0.1677203650262214,0.0166614383697396,,0.0,,,,2017.0,-0.2004401607924075,-0.1350005692600352,0.0,,,,,,,,,,,,,,,,,,,,,,,
EVENT_log1p_forward_cites_ctrl_all_base2014.csv,log1p_forward_cites,all,,-0.3058955673896451,0.0209760067495994,,0.0,,,,2018.0,-0.3470883288791658,-0.2647028059001243,0.0,,,,,,,,,,,,,,,,,,,,,,,
EVENT_log1p_grant_delay_days_ctrl_all_base2014.csv,log1p_grant_delay_days,all,,0.1211713510102767,0.0270225299026118,,8.739986812056344e-06,,,,2010.0,0.0681035578554089,0.1742391441651445,0.0,,,,,,,,,,,,,,,,,,,,,,,
EVENT_log1p_grant_delay_days_ctrl_all_base2014.csv,log1p_grant_delay_days,all,,0.1538237515326828,0.0086594912096779,,0.0,,,,2011.0,0.1368179386055532,0.1708295644598124,0.0,,,,,,,,,,,,,,,,,,,,,,,
EVENT_log1p_grant_delay_days_ctrl_all_base2014.csv,log1p_grant_delay_days,all,,0.0408291772235818,0.0219605973436842,,0.0634767364789012,,,,2012.0,-0.0022978150155621,0.0839561694627257,0.0,,,,,,,,,,,,,,,,,,,,,,,
EVENT_log1p_grant_delay_days_ctrl_all_base2014.csv,log1p_grant_delay_days,all,,0.152931280399741,0.0133398342752298,,0.0,,,,2013.0,0.1267340454040018,0.1791285153954802,0.0,,,,,,,,,,,,,,,,,,,,,,,
EVENT_log1p_grant_delay_days_ctrl_all_base2014.csv,log1p_grant_delay_days,all,,0.0,0.0,,,,,,2014.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
EVENT_log1p_grant_delay_days_ctrl_all_base2014.csv,log1p_grant_delay_days,all,,-0.0052551028328896,0.011604030817974,,0.6508032399173613,,,,2015.0,-0.0280435060442202,0.0175333003784409,0.0,,,,,,,,,,,,,,,,,,,,,,,
EVENT_log1p_grant_delay_days_ctrl_all_base2014.csv,log1p_grant_delay_days,all,,0.0935750601825045,0.0073405123440049,,0.0,,,,2016.0,0.0791595042694826,0.1079906160955263,0.0,,,,,,,,,,,,,,,,,,,,,,,
EVENT_log1p_grant_delay_days_ctrl_all_base2014.csv,log1p_grant_delay_days,all,,0.1664533357517185,0.011182285812227,,0.0,,,,2017.0,0.1444931701928112,0.1884135013106258,0.0,,,,,,,,,,,,,,,,,,,,,,,
EVENT_log1p_grant_delay_days_ctrl_all_base2014.csv,log1p_grant_delay_days,all,,0.1483228202768716,0.0099485807948911,,0.0,,,,2018.0,0.128785447954203,0.1678601925995402,0.0,,,,,,,,,,,,,,,,,,,,,,,
EVENT_log1p_inventor_count_ctrl_all_base2014.csv,log1p_inventor_count,all,,0.0381862282767874,0.0065824173347358,,1.0507053227470921e-08,,,,2010.0,0.0252596521876831,0.0511128043658917,0.0,,,,,,,,,,,,,,,,,,,,,,,
EVENT_log1p_inventor_count_ctrl_all_base2014.csv,log1p_inventor_count,all,,0.0431207306895911,0.0046083515227904,,0.0,,,,2011.0,0.0340708325176332,0.0521706288615491,0.0,,,,,,,,,,,,,,,,,,,,,,,
EVENT_log1p_inventor_count_ctrl_all_base2014.csv,log1p_inventor_count,all,,0.1079855804528575,0.0128155014617245,,2.220446049250313e-16,,,,2012.0,0.0828184501509231,0.1331527107547919,0.0,,,,,,,,,,,,,,,,,,,,,,,
EVENT_log1p_inventor_count_ctrl_all_base2014.csv,log1p_inventor_count,all,,0.0249987265574494,0.0029418052802981,,2.220446049250313e-16,,,,2013.0,0.0192215982075909,0.0307758549073078,0.0,,,,,,,,,,,,,,,,,,,,,,,
EVENT_log1p_inventor_count_ctrl_all_base2014.csv,log1p_inventor_count,all,,0.0,0.0,,,,,,2014.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
EVENT_log1p_inventor_count_ctrl_all_base2014.csv,log1p_inventor_count,all,,0.1073543245441294,0.0075315017849253,,0.0,,,,2015.0,0.0925639328176272,0.1221447162706316,0.0,,,,,,,,,,,,,,,,,,,,,,,
EVENT_log1p_inventor_count_ctrl_all_base2014.csv,log1p_inventor_count,all,,0.0979407258667109,0.0068149276517522,,0.0,,,,2016.0,0.0845575451365498,0.111323906596872,0.0,,,,,,,,,,,,,,,,,,,,,,,
EVENT_log1p_inventor_count_ctrl_all_base2014.csv,log1p_inventor_count,all,,0.0639538552940464,0.0064210616592909,,0.0,,,,2017.0,0.0513441500914235,0.0765635604966694,0.0,,,,,,,,,,,,,,,,,,,,,,,
EVENT_log1p_inventor_count_ctrl_all_base2014.csv,log1p_inventor_count,all,,0.1048543798473713,0.0076365895111559,,0.0,,,,2018.0,0.0898576164461377,0.119851143248605,0.0,,,,,,,,,,,,,,,,,,,,,,,
EVENT_log1p_reject_cites_ctrl_all_base2014.csv,log1p_reject_cites,all,,0.1132396320422151,0.0325014831260434,,0.0005285839852398,,,,2010.0,0.0494130963984679,0.1770661676859624,0.0,,,,,,,,,,,,,,,,,,,,,,,
EVENT_log1p_reject_cites_ctrl_all_base2014.csv,log1p_reject_cites,all,,0.0309319454943098,0.0242054285811148,,0.2017662015099068,,,,2011.0,-0.0166027668175335,0.0784666578061531,0.0,,,,,,,,,,,,,,,,,,,,,,,
EVENT_log1p_reject_cites_ctrl_all_base2014.csv,log1p_reject_cites,all,,0.0066279190153312,0.0248813869637288,,0.7900348057242175,,,,2012.0,-0.042234242928096,0.0554900809587584,0.0,,,,,,,,,,,,,,,,,,,,,,,
EVENT_log1p_reject_cites_ctrl_all_base2014.csv,log1p_reject_cites,all,,0.0313545748477402,0.0070084416866899,,9.143445921289128e-06,,,,2013.0,0.0175913705229444,0.045117779172536,0.0,,,,,,,,,,,,,,,,,,,,,,,
EVENT_log1p_reject_cites_ctrl_all_base2014.csv,log1p_reject_cites,all,,0.0,0.0,,,,,,2014.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
EVENT_log1p_reject_cites_ctrl_all_base2014.csv,log1p_reject_cites,all,,0.0618061398294311,0.0227537968392703,,0.0067860510834751,,,,2015.0,0.017122147429449,0.1064901322294133,0.0,,,,,,,,,,,,,,,,,,,,,,,
EVENT_log1p_reject_cites_ctrl_all_base2014.csv,log1p_reject_cites,all,,0.091832681807634,0.0118849645513787,,4.463096558993129e-14,,,,2016.0,0.0684929434141143,0.1151724202011537,0.0,,,,,,,,,,,,,,,,,,,,,,,
EVENT_log1p_reject_cites_ctrl_all_base2014.csv,log1p_reject_cites,all,,0.1883914158293184,0.0166195127301665,,0.0,,,,2017.0,0.1557539537928954,0.2210288778657414,0.0,,,,,,,,,,,,,,,,,,,,,,,
EVENT_log1p_reject_cites_ctrl_all_base2014.csv,log1p_reject_cites,all,,0.1407954145574169,0.0138156136733949,,0.0,,,,2018.0,0.1136642601068497,0.167926569007984,0.0,,,,,,,,,,,,,,,,,,,,,,,
applicant_fe_summary.csv,grant,,,0.2970879518970181,0.0318227515307407,,0.0,,,2549296.0,,,,,baseline_no_applicant_FE,,,,,,,,,,,,,,,,,,,,,,
applicant_fe_summary.csv,grant,,,0.2212776175388956,0.0259017265850482,,2.220446049250313e-16,,,2549296.0,,,,,with_applicant_FE,,,,,,,,,,,,,,,,,,,,,,
applicant_fe_summary.csv,log1p_grant_delay_days,,,-0.2040090918691038,0.0978319358258002,,0.0374577436911243,,,1612067.0,,,,,baseline_no_applicant_FE,,,,,,,,,,,,,,,,,,,,,,
applicant_fe_summary.csv,log1p_grant_delay_days,,,-0.0755197600022309,0.0663235298623223,,0.2552946395812885,,,1612067.0,,,,,with_applicant_FE,,,,,,,,,,,,,,,,,,,,,,
applicant_fe_summary.csv,log1p_backward_cites,,,-0.3849043593192091,0.1078835784757482,,0.0003880530808595,,,2549296.0,,,,,baseline_no_applicant_FE,,,,,,,,,,,,,,,,,,,,,,
applicant_fe_summary.csv,log1p_backward_cites,,,-0.4104369866370375,0.1292620515726728,,0.0015720190804837,,,2549296.0,,,,,with_applicant_FE,,,,,,,,,,,,,,,,,,,,,,
applicant_fe_summary.csv,log1p_reject_cites,,,-0.4425820015266659,0.1161234720842093,,0.0001521422949233,,,2549296.0,,,,,baseline_no_applicant_FE,,,,,,,,,,,,,,,,,,,,,,
applicant_fe_summary.csv,log1p_reject_cites,,,-0.4358488036194108,0.1342413662264212,,0.0012307440023107,,,2549296.0,,,,,with_applicant_FE,,,,,,,,,,,,,,,,,,,,,,
applicant_fe_summary.csv,log1p_forward_cites,,,0.2024972216786433,0.0791658017614409,,0.0107695898302047,,,2549296.0,,,,,baseline_no_applicant_FE,,,,,,,,,,,,,,,,,,,,,,
applicant_fe_summary.csv,log1p_forward_cites,,,0.1570960274102776,0.0443767888428238,,0.0004302750709654,,,2549296.0,,,,,with_applicant_FE,,,,,,,,,,,,,,,,,,,,,,
applicant_fe_summary.csv,log1p_inventor_count,,,0.1530120087505176,0.0579991019030708,,0.0085462246018488,,,2549296.0,,,,,baseline_no_applicant_FE,,,,,,,,,,,,,,,,,,,,,,
applicant_fe_summary.csv,log1p_inventor_count,,,0.0784708597347752,0.0522693768438167,,0.1337969257939724,,,2549296.0,,,,,with_applicant_FE,,,,,,,,,,,,,,,,,,,,,,
applicant_fe_summary.csv,log1p_applicant_count,,,-0.0188381804277844,0.0051539391819124,,0.0002790516317141,,,2549296.0,,,,,baseline_no_applicant_FE,,,,,,,,,,,,,,,,,,,,,,
applicant_fe_summary.csv,log1p_applicant_count,,,-0.0178356728563574,0.0028325191150418,,5.78587844302092e-10,,,2549296.0,,,,,with_applicant_FE,,,,,,,,,,,,,,,,,,,,,,
applicant_fe_summary.csv,has_reject_cite,,,-0.2242770943877383,0.0654044588675324,,0.0006461323024109,,,2549296.0,,,,,baseline_no_applicant_FE,,,,,,,,,,,,,,,,,,,,,,
applicant_fe_summary.csv,has_reject_cite,,,-0.2392188134447994,0.0747150726629281,,0.0014364220816771,,,2549296.0,,,,,with_applicant_FE,,,,,,,,,,,,,,,,,,,,,,
concentration_summary.csv,hhi,,,-0.0072277850598006,0.0438029587760636,,0.8689398766159284,,,328829.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
concentration_summary.csv,top5_share,,,-0.065657448019861,0.0272059543135677,,0.0158132795447814,,,328829.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,grant,all,,-0.0899858971958064,0.0066049629654707,,0.0,,,,2010.0,-0.1029567484799265,-0.0770150459116863,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,grant,all,,0.0187912977524853,0.0046768992251207,,6.59466071541992e-05,,,,2011.0,0.0096067853431057,0.0279758101618648,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,grant,all,,0.0060269852898772,0.0041371218701071,,0.1456769127584716,,,,2012.0,-0.0020975103056276,0.0141514808853822,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,grant,all,,-0.0541818953090381,0.0032412011009023,,0.0,,,,2013.0,-0.06054697830519,-0.0478168123128861,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,grant,all,,0.0,0.0,,,,,,2014.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,grant,all,,-0.0436644917447245,0.0052610507654528,,6.661338147750939e-16,,,,2015.0,-0.0539961631611488,-0.0333328203283002,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,grant,all,,0.0163956891432999,0.0054567671736112,,0.0027663441726841,,,,2016.0,0.0056796691033699,0.0271117091832299,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,grant,all,,0.0450256946241743,0.0102616588752255,,1.34623608591955e-05,,,,2017.0,0.0248738100648284,0.0651775791835202,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,grant,all,,0.0324768903343021,0.0083475585915281,,0.0001108379803334,,,,2018.0,0.0160839231606438,0.0488698575079603,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,grant,software,,-0.0810041205839407,0.0060673648728068,,0.0,,,,2010.0,-0.0930224026784027,-0.0689858384894787,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,grant,software,,0.0249156272954399,0.012407613053671,,0.046977316402089,,,,2011.0,0.0003385337920845,0.0494927207987953,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,grant,software,,0.0025516981951883,0.0027494322285824,,0.3553089390451298,,,,2012.0,-0.0028943978968409,0.0079977942872175,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,grant,software,,-0.054372896985406,0.0047591780247212,,0.0,,,,2013.0,-0.0637999127060551,-0.0449458812647569,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,grant,software,,0.0,0.0,,,,,,2014.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,grant,software,,-0.0436445194510046,0.0106107984196283,,7.358503538190675e-05,,,,2015.0,-0.0646624689773483,-0.0226265699246609,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,grant,software,,0.0010325030320419,0.0053751367772913,,0.8480115068246556,,,,2016.0,-0.0096146084306845,0.0116796144947683,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,grant,software,,0.0191973881659987,0.0118368325393116,,0.1075772444178511,,,,2017.0,-0.0042490989902192,0.0426438753222168,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,grant,software,,0.0020621683187314,0.0082790009030977,,0.8037399734972277,,,,2018.0,-0.0143369391026267,0.0184612757400895,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,has_reject_cite,all,,0.0524330740339769,0.0148606772161674,,0.0004492110720979,,,,2010.0,0.0232496198405313,0.0816165282274224,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,has_reject_cite,all,,-0.0017514939729227,0.0201051335930642,,0.9306068817643594,,,,2011.0,-0.0412340314597044,0.0377310435138588,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,has_reject_cite,all,,0.0387898578884134,0.023411043661693,,0.0980455648282137,,,,2012.0,-0.0071848383103896,0.0847645540872165,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,has_reject_cite,all,,0.0406165171281492,0.0050174994557564,,3.108624468950439e-15,,,,2013.0,0.0307631326960182,0.0504699015602801,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,has_reject_cite,all,,0.0,0.0,,,,,,2014.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,has_reject_cite,all,,0.0531758257651127,0.0202730623904169,,0.008931126691644,,,,2015.0,0.0133635090701552,0.0929881424600702,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,has_reject_cite,all,,0.0665373384686918,0.0128037810362712,,2.758415167392059e-07,,,,2016.0,0.041393224782647,0.0916814521547366,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,has_reject_cite,all,,0.1490366690385993,0.0150748091945725,,0.0,,,,2017.0,0.119432701655059,0.1786406364221396,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,has_reject_cite,all,,0.1219401110928164,0.0152219958450644,,5.551115123125783e-15,,,,2018.0,0.0920470980076547,0.1518331241779782,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_applicant_count,all,,-0.0068621847775961,0.0012072022575757,,2.0237485243157494e-08,,,,2010.0,-0.0092328931426131,-0.0044914764125791,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_applicant_count,all,,0.0025202716942217,0.0008975468494822,,0.0051428709887566,,,,2011.0,0.0007576657922618,0.0042828775961816,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_applicant_count,all,,-0.0006738836866894,0.0012545022783374,,0.5913417406142167,,,,2012.0,-0.0031374800116,0.0017897126382212,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_applicant_count,all,,0.0039249707253873,0.0005713276906056,,1.5686563159533762e-11,,,,2013.0,0.0028029952429983,0.0050469462077763,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_applicant_count,all,,0.0,0.0,,,,,,2014.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_applicant_count,all,,-0.0099087811905903,0.0008929722164417,,0.0,,,,2015.0,-0.0116624034108614,-0.0081551589703192,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_applicant_count,all,,-0.0017660785340915,0.0007401135705217,,0.0173217859691652,,,,2016.0,-0.0032195163666399,-0.0003126407015431,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_applicant_count,all,,0.008005075299967,0.0008555664402454,,0.0,,,,2017.0,0.0063249106846432,0.0096852399152908,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_applicant_count,all,,-0.00448512485772,0.0009641513209967,,4.0242300618498206e-06,,,,2018.0,-0.0063785288730664,-0.0025917208423735,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_backward_cites,all,,0.0014510280305123,0.0345104172556986,,0.9664755163645236,,,,2010.0,-0.0663206600647436,0.0692227161257682,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_backward_cites,all,,-0.0380851630866633,0.0399622975389584,,0.340948200851825,,,,2011.0,-0.1165632743280707,0.040392948154744,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_backward_cites,all,,0.0006597705951361,0.0144438568587966,,0.9635814046798472,,,,2012.0,-0.0277051302020353,0.0290246713923076,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_backward_cites,all,,-0.1257117047681009,0.0084389807253119,,0.0,,,,2013.0,-0.1422842070742931,-0.1091392024619088,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_backward_cites,all,,0.0,0.0,,,,,,2014.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_backward_cites,all,,0.061568877241653,0.0239246656219309,,0.0103006842952413,,,,2015.0,0.0145855282922846,0.1085522261910214,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_backward_cites,all,,0.0740225526093633,0.0117397859720753,,5.472682307328114e-10,,,,2016.0,0.0509679164596608,0.0970771887590659,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_backward_cites,all,,0.210955036357473,0.0209071829288494,,0.0,,,,2017.0,0.169897431347772,0.252012641367174,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_backward_cites,all,,0.1011851103821214,0.0146892550692007,,1.3907319740269486e-11,,,,2018.0,0.0723382956500526,0.1300319251141902,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_forward_cites,all,,-0.4815999825919215,0.0250494738334227,,0.0,,,,2010.0,-0.5307922341665869,-0.432407731017256,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_forward_cites,all,,-0.4479783160397613,0.0103452221957532,,0.0,,,,2011.0,-0.4682943025644079,-0.4276623295151146,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_forward_cites,all,,-0.4272474560219396,0.0431690726769202,,0.0,,,,2012.0,-0.5120230444231075,-0.3424718676207717,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_forward_cites,all,,-0.1642922031264694,0.0307156586813417,,1.2476186683763046e-07,,,,2013.0,-0.2246117299629202,-0.1039726762900185,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_forward_cites,all,,0.0,0.0,,,,,,2014.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_forward_cites,all,,-0.0916912339868378,0.0204773348981825,,8.984662595246107e-06,,,,2015.0,-0.131904701806111,-0.0514777661675647,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_forward_cites,all,,-0.0148153379566278,0.0239615233049084,,0.5366070110396244,,,,2016.0,-0.0618710681634049,0.0322403922501492,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_forward_cites,all,,-0.1677203650262214,0.0166614383697396,,0.0,,,,2017.0,-0.2004401607924075,-0.1350005692600352,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_forward_cites,all,,-0.3058955673896451,0.0209760067495994,,0.0,,,,2018.0,-0.3470883288791658,-0.2647028059001243,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_grant_delay_days,all,,0.1211713510102767,0.0270225299026118,,8.739986812056344e-06,,,,2010.0,0.0681035578554089,0.1742391441651445,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_grant_delay_days,all,,0.1538237515326828,0.0086594912096779,,0.0,,,,2011.0,0.1368179386055532,0.1708295644598124,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_grant_delay_days,all,,0.0408291772235818,0.0219605973436842,,0.0634767364789012,,,,2012.0,-0.0022978150155621,0.0839561694627257,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_grant_delay_days,all,,0.152931280399741,0.0133398342752298,,0.0,,,,2013.0,0.1267340454040018,0.1791285153954802,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_grant_delay_days,all,,0.0,0.0,,,,,,2014.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_grant_delay_days,all,,-0.0052551028328896,0.011604030817974,,0.6508032399173613,,,,2015.0,-0.0280435060442202,0.0175333003784409,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_grant_delay_days,all,,0.0935750601825045,0.0073405123440049,,0.0,,,,2016.0,0.0791595042694826,0.1079906160955263,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_grant_delay_days,all,,0.1664533357517185,0.011182285812227,,0.0,,,,2017.0,0.1444931701928112,0.1884135013106258,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_grant_delay_days,all,,0.1483228202768716,0.0099485807948911,,0.0,,,,2018.0,0.128785447954203,0.1678601925995402,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_inventor_count,all,,0.0381862282767874,0.0065824173347358,,1.050705322747092e-08,,,,2010.0,0.0252596521876831,0.0511128043658917,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_inventor_count,all,,0.0431207306895911,0.0046083515227904,,0.0,,,,2011.0,0.0340708325176332,0.0521706288615491,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_inventor_count,all,,0.1079855804528575,0.0128155014617245,,2.220446049250313e-16,,,,2012.0,0.0828184501509231,0.1331527107547919,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_inventor_count,all,,0.0249987265574494,0.0029418052802981,,2.220446049250313e-16,,,,2013.0,0.0192215982075909,0.0307758549073078,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_inventor_count,all,,0.0,0.0,,,,,,2014.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_inventor_count,all,,0.1073543245441294,0.0075315017849253,,0.0,,,,2015.0,0.0925639328176272,0.1221447162706316,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_inventor_count,all,,0.0979407258667109,0.0068149276517522,,0.0,,,,2016.0,0.0845575451365498,0.111323906596872,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_inventor_count,all,,0.0639538552940464,0.0064210616592909,,0.0,,,,2017.0,0.0513441500914235,0.0765635604966694,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_inventor_count,all,,0.1048543798473713,0.0076365895111559,,0.0,,,,2018.0,0.0898576164461377,0.119851143248605,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_reject_cites,all,,0.1132396320422151,0.0325014831260434,,0.0005285839852398,,,,2010.0,0.0494130963984679,0.1770661676859624,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_reject_cites,all,,0.0309319454943098,0.0242054285811148,,0.2017662015099068,,,,2011.0,-0.0166027668175335,0.0784666578061531,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_reject_cites,all,,0.0066279190153312,0.0248813869637288,,0.7900348057242175,,,,2012.0,-0.042234242928096,0.0554900809587584,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_reject_cites,all,,0.0313545748477402,0.0070084416866899,,9.143445921289128e-06,,,,2013.0,0.0175913705229444,0.045117779172536,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_reject_cites,all,,0.0,0.0,,,,,,2014.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_reject_cites,all,,0.0618061398294311,0.0227537968392703,,0.0067860510834751,,,,2015.0,0.017122147429449,0.1064901322294133,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_reject_cites,all,,0.091832681807634,0.0118849645513787,,4.463096558993129e-14,,,,2016.0,0.0684929434141143,0.1151724202011537,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_reject_cites,all,,0.1883914158293184,0.0166195127301665,,0.0,,,,2017.0,0.1557539537928954,0.2210288778657414,0.0,,,,,,,,,,,,,,,,,,,,,,,
event_studies_master.csv,log1p_reject_cites,all,,0.1407954145574169,0.0138156136733949,,0.0,,,,2018.0,0.1136642601068497,0.167926569007984,0.0,,,,,,,,,,,,,,,,,,,,,,,
